city,municipality,lat,lng
Abbekås,Skurups kommun,55.39320319999999,13.5945366
Abborrberget,Strängnäs kommun,59.3907598,17.0336436
Agunnaryd,Ljungby kommun,56.74930850000001,14.1470103
Alberga,Eskilstuna kommun,59.27908110000001,16.1196797
Alby,Ånge kommun,62.4986033,15.4844517
Alfta,Ovanåkers kommun,61.34444680000001,16.0604207
Algutsrum,Mörbylånga kommun,56.67873179999999,16.5298696
Alingsås,Alingsås kommun,57.9300205,12.5362113
Allerum,Helsingborgs kommun,56.1111863,12.6942916
Almunge,Uppsala kommun,59.8686055,18.0706839
Alsike,Knivsta kommun,59.74917,17.77939
Alstad,Trelleborgs kommun,55.4538635,13.2090859
Alster,Karlstads kommun,59.4012898,13.6138993
Alsterbro,Nybro kommun,56.9381594,15.9127217
Alstermo,Uppvidinge kommun,56.97604704086004,15.652048640969575
Alunda,Östhammars kommun,60.26770759999999,18.4027691
Alvesta,Alvesta kommun,56.89921039999999,14.5560006
Alvhem,Ale kommun,58.0043146,12.1593301
Alvik,Leksands kommun,60.74513419999999,14.87282
Ambjörnarp,Tranemo kommun,57.42086159999999,13.2943023
Ammenäs,Uddevalla kommun,58.3071773,11.834299
Anderslöv,Trelleborgs kommun,55.43828749999999,13.3169604
Anderstorp,Gislaveds kommun,57.2812542,13.6271963
Aneby,Aneby kommun,57.83852100000001,14.8178021
Angelstad,Ljungby kommun,56.829987,13.758796
Angered,Göteborgs kommun,57.79921210000001,12.0526583
Ankarsrum,Västerviks kommun,57.7003897,16.3320828
Ankarsvik,Sundsvalls kommun,62.37901999999999,17.41668
Anneberg,Nässjö kommun,57.716667,14.8
Annelöv,Landskrona kommun,55.8374032,13.0193586
Antnäs,Luleå kommun,65.5543732,21.8363669
Aplared,Borås kommun,57.65083159999999,13.0710761
Arboga,Arboga kommun,59.39368829999999,15.8381747
Arbrå,Bollnäs kommun,61.4724671,16.3786367
Ardala,Skara kommun,58.3618792,13.3362058
Arentorp,Vara kommun,58.2435416,12.8741956
Arild,Höganäs kommun,56.2708361,12.5783573
Arjeplog,Arjeplogs kommun,66.0515051,17.8900543
Arkelstorp,Kristianstads kommun,56.1747956,14.285259
Arninge,Täby kommun,59.46583029999999,18.1292984
Arnö,Nyköpings kommun,58.72021909999999,17.0241226
Arrie,Vellinge kommun,55.5151012,13.0832231
Arvidsjaur,Arvidsjaurs kommun,65.5920768,19.1802828
Arvidsvik,Kungälvs kommun,57.883333,11.583333
Arvika,Arvika kommun,59.6548534,12.592136
Aröd och Timmervik,Kungälvs kommun,57.9667698,11.7809122
Askeby,Linköpings kommun,58.4081361,15.850804
Askersby,Örebro kommun,59.1514101,15.4779207
Askersund,Askersunds kommun,58.88942679999999,14.9109867
Asmundtorp,Landskrona kommun,55.8857824,12.9450145
Aspeboda,Falu kommun,60.557039,15.492931
Asperö,Göteborgs kommun,57.64814999999999,11.7975999
